,要件,最終判断
9652,テスト計画書は、単体テスト、結合テスト、総合テスト及び運用テストについて、それぞれ作成すること。,その他
9653,また、改修による変更箇所が含まれ、既存処理に影響が及ぶと考えられる業務アプリケーションプログラムについては、既存機能に問題がないことを網羅的な機能検証により確認すること。,保守性
9654,テストの種類、概要について、「表0-0テスト一覧」に示す。,その他
9655,表0-0テスト一覧,その他
9656,業務プログラムの移行に際し、プログラム単体テストを実施すること。,その他
9657,修正または改修した機能が機能に対する要求事項を満たすことを確認すること。,その他
9658,ハードウェア、os、ミドルウェアについて、機器が単体で正常に動作することを検証すること。,信頼性
9659,テストは受託者が用意する開発環境にて実施し、テストに必要なデータは受託者が用意すること。,その他
9660,業務プログラムの移行に際し、画面、帳票、バッチ処理の結合テストを実施すること。,その他
9661,機器間の接続が正常に動作することを検証すること。,互換性
9662,修正または改修した機能、関連する機能を組み合わせたソフトウェア及び改修により影響を受ける現行システムが正常に稼働することを確認する。,保守性
9663,また、テストは受託者が用意する開発環境にて実施し、テストに必要なデータは受託者が用意する。,その他
9664,業務仕様に基づき、各業務のインプット、アウトプットを連携した業務シナリオを実施すること。,その他
9665,なお、テストに当たっては、各業務で必要とする運用支援作業を適宜実施する前提としてシナリオを組み立てること。,その他
9666,サーバ、pc端末、ネットワーク機器が要求仕様に沿った動作をすることを総合的に検証すること。,保守性
9667,修正または改修した機能を含むソフトウェアが総合テスト環境において正常に稼働し、要求事項を満たすことを確認する。,保守性
9668,また、現行システムの運用を考慮し、稼働後の運用スケジュールをアプリケーションプログラム保守事業者と調整した上で運用に係るテストを行い、性能等を確認する。,その他
9669,テストは現行システムの検収環境で実施し、テストに必要なデータは受託者が準備する。,その他
9670,移設、設置後に毎勤システムが、構築した環境で正常稼働し、現行システムと同じ業務運用のサイクルを実施可能となっていることを検証すること。,その他
9671,テストに必要なデータは受託者が準備する。,その他
9672,テスト環境の構築及び維持管理に必要なハードウェア及びソフトウェアは、受託者の負担とする。,その他
9673,特に、現行システムとの比較検証に用いる現行システムの動作環境及び毎勤システム本番環境と同一の環境については、受託者の負担において用意すること。,その他
9674,但し、環境構築が困難な場合で、現行の検収サーバの利用が必要な場合は、雇用、賃金福祉統計課室の了解を得た上で、現行の検収サーバを利用すること。,その他
9675,なお、構築中の機器上でのテストが必要となる際には、雇用、賃金福祉統計室と協議すること。,その他
9676,現行システムを構成する業務プログラム、業務データ及び運用管理に係る各種バッチ等を移行し、現行システムと同等の機能を備えること。,その他
9677,特に業務データについては、現行システム稼働中に蓄積した全てのデータを移行対象とすること。,その他
9678,但し、オペレーティングシステム、ミドルウェア、ネットワーク機器等の各種ログ及び一時作業用のテンポラリファイル等については移行対象外とする。,その他
9679,なお、各種ログ及び一時作業用のテンポラリファイル等にセキュリティの観点から保管が必要と考えられるものがある場合には、雇用、賃金福祉統計室に報告すること。,その他
9680,現行システムから新システムの環境への移行に当たっては、システムの安定稼働及び業務の継続性に影響を与えることなく、速やかに実施する必要がある。,信頼性
9681,現行システムで提供している保有データを、新システム環境に確実に移行し、完全に作動するよう受託者の責任と負担で対応すること。,移植性
9682,システム更改後も担当職員による検索、参照が可能となるよう全てのデータを新環境で提供される機能を用いて参照可能な形式で外部記録メディア等に保管すること。,その他
9683,移行するデータについては日々更新が行われるため、現行システムから新システムへのデータ移行に対し、移行方法について具体的な実現方法を提案すること。,その他
9684,移行に当たって「毎勤システムに関する変更作業が必要な場合は受託者の責任と負担において行うこと。,その他
9685,なお、変更内容については、事前にシステム運用、保守事業者に提供し、承認を得ること。,その他
9686,受託者は、システム移行計画書に基づき、ハードウェア及びソフトウェア、業務プログラム、業務データの移行を行い、雇用、賃金福祉統計室に進捗報告、作業調整等を行うこと。,その他
9687,システム移行時トラブル等により計画した期日までに本番稼働が難しいと判断された場合は､現行システムへの切り戻しを行うこと。,信頼性
9688,なお切り戻し作業並びに現行システムの賃貸借延長に係る費用については、受託者が負担すること。,その他
9689,ハードウェアの搬入移設、据付、現地調整を実施すること。,その他
9690,各機器の設定内容をまとめ、サーバ設定書、データ定義書等を作成し、雇用、賃金福祉統計室へ報告すること。,その他
9691,現行システムにおいて厚生労働省ネットワークシステムと接続を行っているが、新システムにおいても、継続して使用できるよう構築すること。,互換性
9692,また､他のネットワークシステムへの接続や他の業務システムとの連携可能な限り影響のない移行方法を具体的に提案すること。,その他
9693,本調達において移行対象とする業務プログラムの規模は、「表0-0毎勤システムの規模」の「開発言語等」を参照すること。,保守性
9694,受託者は、業務プログラムが、移行後のハードウェア及びソフトウェアに適応せず正常に稼働しない場合、または現行システムの動作と異なる結果となる場合には、根本原因と影響範囲を特定し、必要に応じて業務プログラムへの改修を行うこと。,保守性
9695,なお、業務プログラムの改修を行った場合は、修正後の設計書等を提出すること。,保守性
9696,移行に際し、現行運用支援事業者へ作業を依頼する場合は、受託者の負担において実施すること。,その他
9697,受託者はシステム移行計画書に基づき、ハードウェア及びソフトウェア、業務プログラム、業務データの移行を行い、雇用、賃金福祉統計室へ進捗報告、作業調整等を行うこと。,その他
9698,システム移行時トラブル等により計画した期日までに本番稼働が難しいと判断された場合は、現行システムへの切り戻しを行うこと。,信頼性
9699,なお、切り戻し作業並びに現行システムの賃貸借延長に係る費用については、受託者が負担すること。,その他
9700,現行システムにおいて厚生労働省ネットワークシステムと接続を行っているが、新システムにおいても、継続して使用できるよう構築すること。,互換性
9701,また、他のネットワークへの接続や他の業務システムとの連携に可能な限り影響のない移行方法を具体的に提案すること。,その他
9702,現行システムの撤去作業を現行運用支援事業者が行うにあたり必要な調整については、受託者が主体的に行うこと。,その他
9703,受託者は、業務プログラムが、移行後のハードウェア及びソフトウェアに適応せず正常に稼働しない場合、または現行システムの動作と異なる結果となる場合には、根本原因と影響範囲を特定し、必要に応じて業務プログラムへの改修を行うこと。,保守性
9704,なお、業務プログラムの改修を行った場合は、修正後の設計書等を提出すること。,保守性
9705,移行に際し、現行運用支援事業者へ作業を依頼する場合は、受託者の負担において実施すること。,その他
9706,毎勤システムの稼働時間は、原則として0時間0日とする。,信頼性
9707,機械保守、ソフトウェアパッチ適用等の保守作業を行うために、計画停止を行う場合を除く。,その他
9708,平日の0：0～0：0の間は、原則としてバックアップ処理やバッチ処理等は行わないこととする。,その他
9709,大規模なデータの入れ替え、業務プログラムのリリース、機器点検、セキュリティパッチの適用等の作業は、計画停止時間に実施すること。,その他
9710,運用支援時間は原則として、平日の0：0～0：0とする。,その他
9711,但し、終了間際に発生した保守対応業務については、翌日の業務に影響がないよう速やかに対応すること。,その他
9712,システム運用は、原則として自動化すること。,機能適合性
9713,従って、自動化される業務において異常が発生した場合にはシステム運用担当者へ適切に通知がなされるようにすること。,その他
9714,但し、実施頻度の低い作業及び緊急対応等の作業においてはこの限りではない。,その他
9715,バックアップで保存したデータを使用して、バックアップ時点までリストアができること。,信頼性
9716,lan設備機器の利用者は全体で0名程度。,性能効率性
9717,ただし、無線lan設備設置対象は中央合同庁舎第0号館内の仮設会議室を含めた会議室0か所と講堂のみとする。,その他
9718,lan設備機器の利用時期及び時間は0時間0日とする。,信頼性
9719,ただし、定期保守、法定停電等による停止時間を除く。,その他
9720,lan設備機器の利用者は全体で0名程度。,性能効率性
9721,日0時間無停止による稼働を原則とし、スイッチa、スイッチb0、スイッチb0及びファイアウォールaについては冗長化構成により無停止で保守を行えること。,信頼性
9722,lan設備機器を構成するハードウェア及びソフトウェアは、同一製品において過去に出荷、稼働実績があり、十分に高い信頼性を有すること。,その他
9723,導入するlan設備機器は、出荷前に動作確認試験を実施して、初期不良の減少に努めること。なお、検査結果も提出すること。,その他
9724,運用期間中のサポート体制及び安定稼働を考慮し、lan設備機器を構成するネットワーク機器各種スイッチ及び無線lanアクセスポイントについては、原則として同一メーカの製品で統一すること。,その他
9725,ネットワーク機器を動作させるソフトウェアについては、今回使用する機能について十分に検証されたものを提供すること。,その他
9726,なお検証結果も提出すること。,その他
9727,また、ソフトウェアによる障害と疑われる事象が発生した場合には、製造メーカと十分に連携して障害解析ができる体制を持っていること。,その他
9728,本調達仕様の一部又は全部を他社製品で満たしている場合においても、受注者が責任をもってそれらの製品の品質を確保すること。,その他
9729,ネットワーク機器にリモートからログインする際には、radius認証サーバとの連携による認証機能を用いること。,セキュリティ
9730,ネットワーク機器にリモートからログインする際に用いるパスワードは、特権ユーザパスワードも含めて、全て0か月ごとに変更すること。,セキュリティ
9731,lan設備機器にログインが可能なユーザは必要最小限に留めること。,その他
9732,リモートからlan設備機器にログインすることが可能なユーザを複数設定する必要がある場合には、ユーザごとに固有のidを設定することとし、共通のidを用いないこと。,その他
9733,サーバ機器に搭載されるソフトウェア等で設定可能なアクセス権限については、担当職員と協議の上、決定すること。,その他
9734,無線lanの使用範囲が現行よりも拡張されることから、情報システムによるサービスを許可されていない者からの不正利用のリスクがある。,その他
9735,許可された利用者端末に事前に証明書をインストールし、証明書内の値を認証に利用する事で主体認証を実施する。,セキュリティ
9736,無線lanの使用範囲が現行よりも拡張されることから、外部から無線を傍受することで、通信内容を分析されるリスクがある。,その他
9737,無線通信内容は暗号化し、暗号化方式は強固なものを提案すること。,セキュリティ
9738,許可されていない者がlan設備機器の運用管理セグメントにアクセスすることで、システム停止等運用に支障を来すリスクがある。,その他
9739,事前に決められた運用員以外はアクセスできないように、運用管理セグメントは他のサービスセグメントと分離すること。,セキュリティ
9740,外部からの攻撃によるセキュリティインシデントが発生した際に、攻撃者が攻撃後に証拠隠滅をはかるリスクがある。,その他
9741,証跡をもとに原因や影響範囲の調査を迅速にするために、ログの蓄積、管理及び保護を実施すること。,セキュリティ
9742,ソフトウェアのセキュリティホールを突いて外部から攻撃されるリスクがある。,その他
9743,最新のパッチをあてる等各ソフトウェアの脆弱性対策を実施すること。,セキュリティ
9744,厚生労働省を狙った標的型攻撃を受けるリスクがある。,その他
9745,個別システム側からの感染拡大を避けるため、境界にファイアウォール及び脅威防御機能をもった機器を配置すること。,セキュリティ
9746,サーバがウイルスに感染し、想定外の動作を引き起こすリスクがある。,その他
9747,各サーバにはウイルス対策ソフトを導入する等不正プログラム対策を実施すること。,セキュリティ
9748,スイッチcについては、設置後に担当職員の指示のもと、ポートごとのenable、disableの設定を行うこと。,その他
9749,また、担当職員の指示により不正に接続して使用することを防ぐための対策も講じること。,その他
9750,lan設備機器に搭載されるソフトウェアについては、厚生労働省統合ネットワークとの接続までに不要なソフトウェアを除去し、不要なサービスを停止させること。,その他
9751,lan設備機器に搭載されるソフトウェアについては、厚生労働省統合ネットワークとの接続までに発見されている脆弱性等に関して、適切な処理を施すこと。,その他
9752,lan設備機器に搭載されるソフトウェアについては、運用期間中にセキュリティパッチ等がリリースされた際には、リリース後0週間以内に担当職員へ連絡をするものとし、担当職員と協議の上、受注者の負担において速やかに導入作業を実施すること。,その他
9753,なお、セキュリティパッチ等の導入については、事前に正常稼働することを確認すること。,その他
9754,個別システムとの接続点に設置するファイアウォールを用いて、個別システムから厚生労働省lanシステムやクライアントパソコンに向けた不正な通信を制御可能な設計とすること。,セキュリティ
9755,ただし、上石神井庁舎事務棟及び労働委員会会館に設置されている個別システムは対象外とする。,その他
9756,ファイアウォールのシグネチャは、あらかじめ担当職員に承認を得たセキュリティポリシーに基づいたシグネチャのみを適用すること。,その他
9757,ウイルス対策ソフトウェアのパターンファイルの更新については、ソフトウェアベンダー等において、パターンファイルが公開された時点で迅速に適用し、最新の状態を維持すること。,その他
9758,また、パターンファイルの取得については、原則、インターネットから厚生労働省統合ネットワークを経由して行うこと。,その他
9759,また、定期的に全ての電子ファイルに対して、不正プログラムの有無を確認するよう設定すること。,その他
9760,運用管理業務で用いる管理用通信は、sshv0やhttpsにより暗号化すること。,セキュリティ
9761,また、暗号化には電子政府推奨暗号があるので以下のurl情報を参照のこと。,その他
9762,運用管理業務で用いる作業用端末については、ハードディスク暗号化等の対策が採られていること。,その他
9763,また、dvd-r、cd-r等で設定情報等のデータを保管、運搬する場合には、必ずファイルを暗号化すること。,セキュリティ
9764,lan設備機器の設定情報を変更する場合には、設定情報等のバックアップを行い運用状態の復元を可能とすること。,信頼性
9765,設定情報管理ソフトウェアにて0か月に一度は稼働中のlan設備機器から設定情報を取得し、受注者が管理している設定情報との差異が発生していないかを確認すること。,その他
9766,lan設備機器の通信要件を把握、管理するため、lan設備機器に接続されている個別システムを一覧化送信元ipアドレス等、宛先ipアドレス等、プロトコル、インタフェース要件、個別システム名等して整理すること運用期間中に新規に接続される個別システムを含む。。,その他
9767,lan設備機器若しくはlan設備機器を通じて厚生労働省統合ネットワークの情報セキュリティが侵害される、又はそのおそれがある場合には、速やかに当省に報告すること。,その他
9768,これに該当する場合には、以下の事象を含む。,その他
9769,本調達に係る業務の遂行における情報セキュリティ対策の履行状況について、当省から以下の報告を求めた場合には速やかに提出すること。,その他
9770,本調達に係る業務の遂行において、受注者における情報セキュリティ対策の履行が不十分であると認められる場合には、受注者は、当省の求めに応じ、当省と協議を行い、合意した対応を実施すること。,その他
9771,lan設備機器について、itセキュリティ評価及び認証制度に基づく認証を取得している製品を積極的に採用すること。,セキュリティ
9772,無線通信については、wpa0を用いて、暗号化はeap-tlsを利用することにより、無線通信の傍受を防止する仕組みを持つこと。,セキュリティ
9773,無線lanアクセスポイントのssidを公開せず、利用可能なクライアントpcにのみssidを事前登録することにより、無線lanアクセスポイントの不正利用を防止できること。,セキュリティ
9774,標的型攻撃によりマルウェア感染した端末から他セグメントへの侵入拡大を防ぐため、内閣官房内閣サイバーセキュリティセンターの「高度サイバー攻撃対処のためのリスク評価等のガイドライン平成0年0月」に従い、適切なネットワークセグメント分離及びアクセス制御設計を実施すること。,その他
9775,syslogサーバにログが送信可能なこと。,互換性
9776,導入する機器は、本調達と同等以上の規模、かつ障害等による中断が許されない基幹業務に供するネットワークでの稼働実績があり、累計での出荷台数実績が多い製品であることが望ましい。,その他
9777,syslogサーバにメッセージが送信可能なこと。,互換性
9778,ntpサーバと時刻同期が可能なこと。,その他
9779,eia規格に準拠した既存の0インチラックに搭載可能なこと。,その他
9780,また、本体の高さは0ru以内であること。,その他
9781,導入する機器は、本調達と同等以上の規模、かつ障害等による中断が許されない基幹業務に供するネットワークでの稼働実績があり、累計での出荷台数実績が多い製品であることが望ましい。,その他
9782,ネットワーク運用監視サーバを設置し、lan設備機器全てネットワーク運用監視サーバは除くについて監視できるものとし、以下の要件を満たすこと。,その他
9783,cpuは0つ以上のcoreと、0mb以上のl0キャッシュを搭載し、動作周波数0.0ghz以上で動作する性能を有すること。,性能効率性
9784,gb以上のddr0メモリを有すること。,性能効率性
9785,gb以上で0回転以上のsas対応ハードディスクを0台以上有することとし、raid0により構成されていること。,"性能効率性,信頼性"
9786,ただし、raid0と同程度の信頼性を用いて当該機能を満たすことも可とする。,その他
9787,また、ハードディスクはホットスワップが可能であること。,信頼性
9788,、0、0base-tインタフェースを0ポート以上有すること。,その他
9789,温度が0～0℃の環境下での動作が保証されていること。,その他
9790,湿度が0～0%の環境下での動作が保証されていること。,その他
9791,サーバ本体は、上記の要件を満たす範囲で、本体の大きさ高さ、幅、奥行について、省スペースを配慮すること。,その他
9792,ネットワーク統計情報サーバを設置し、スイッチaやファイアウォール周辺の必要なトラフィック情報を収集することとし、以下の要件を満たすこと。,その他
9793,cpuは0つ以上のcoreと、0mb以上のl0キャッシュを搭載し、動作周波数0.0ghz以上で動作する性能を有すること。,性能効率性
9794,gb以上のddr0メモリを有すること。,性能効率性
9795,gb以上で0回転以上のsas対応ハードディスクを0台以上有することとし、raid0により構成されていること。,"性能効率性,信頼性"
9796,ただし、raid0と同程度の信頼性を用いて当該機能を満たすことも可とする。,その他
9797,また、ハードディスクはホットスワップが可能であること。,信頼性
9798,、0、0base-tインタフェースを0ポート以上有すること。,その他
9799,温度が0～0℃の環境下での動作が保証されていること。,その他
9800,湿度が0～0%の環境下での動作が保証されていること。,その他
9801,サーバ本体は、上記の要件を満たす範囲で、本体の大きさ高さ、幅、奥行について、省スペースを配慮すること。,その他
9802,radius認証サーバを設置し、以下の要件を満たすこと。,その他
9803,cpuは0つ以上のcoreと、0mb以上のl0キャッシュを搭載し、動作周波数0.0ghz以上で動作する性能を有すること。,性能効率性
9804,gb以上のddr0メモリを有すること。,性能効率性
9805,gb以上で0回転以上のsas対応ハードディスクを0台以上有すること。,性能効率性
9806,、0、0base-tインタフェースを0ポート以上有すること。,その他
9807,温度が0～0℃の環境下での動作が保証されていること。,その他
9808,湿度が0～0%の環境下での動作が保証されていること。,その他
9809,サーバ本体は、上記の要件を満たす範囲で、本体の大きさ高さ、幅、奥行について、省スペースを配慮すること。,その他
9810,ファイアウォール管理サーバを設置し、以下の要件を満たすこと。,その他
9811,cpuは0つ以上のcoreと、0mb以上のl0キャッシュを搭載し、動作周波数0.0ghz以上で動作する性能を有すること。,性能効率性
9812,gb以上のddr0メモリを有すること。,性能効率性
9813,gb以上で0回転以上のsas対応ハードディスクを0台以上有することとし、raid0により構成されていること。,"性能効率性,信頼性"
9814,ただし、raid0と同程度の信頼性を用いて当該機能を満たすことも可とする。,その他
9815,また、ハードディスクはホットスワップが可能であること。,信頼性
9816,、0、0base-tインタフェースを0ポート以上有すること。,その他
9817,温度が0～0℃の環境下での動作が保証されていること。,その他
9818,湿度が0～0%の環境下での動作が保証されていること。,その他
9819,サーバ本体は、上記の要件を満たす範囲で、本体の大きさ高さ、幅、奥行について、省スペースを配慮すること。,その他
9820,syslogサーバを設置し、ネットワーク機器が出力するsyslogを蓄積するサーバとして、以下の条件を満たすこと。,その他
9821,cpuは0つ以上のcoreと、0mb以上のl0キャッシュを搭載し、動作周波数0.0ghz以上で動作する性能を有すること。,性能効率性
9822,gb以上のddr0メモリを有すること。,性能効率性
9823,gb以上で0回転以上のsas対応ハードディスクを0台以上有することとし、raid0により構成されていること。,"性能効率性,信頼性"
9824,ただし、raid0と同程度の信頼性を用いて当該機能を満たすことも可とする。,その他
9825,また、ハードディスクはホットスワップが可能であること。,信頼性
9826,、0、0base-tインタフェースを0ポート以上有すること。,その他
9827,温度が0～0℃の環境下での動作が保証されていること。,その他
9828,湿度が0～0%の環境下での動作が保証されていること。,その他
9829,サーバ本体は、上記の要件を満たす範囲で、本体の大きさ高さ、幅、奥行について、省スペースを配慮すること。,その他
9830,本調達で新規に導入する無線lanソリューションを管理するための無線lan管理サーバを設置し、以下の条件を満たすこと。,その他
9831,cpuは0個以上のcoreと、0mb以上のl0キャッシュを搭載し、動作周波数0.0ghz以上で動作する性能を有すること。,性能効率性
9832,gb以上のddr0メモリを有すること。,性能効率性
9833,gb以上で0回転以上のsas対応ハードディスクを0台以上有することとし、raid0により構成されていること。,"性能効率性,信頼性"
9834,ただし、raid0と同程度の信頼性を用いて当該機能を満たすことも可とする。,その他
9835,また、ハードディスクはホットスワップが可能であること。,信頼性
9836,、0、0base-tインタフェースを0ポート以上有すること。,その他
9837,温度が0～0℃の環境下での動作が保証されていること。,その他
9838,湿度が0～0%の環境下での動作が保証されていること。,その他
9839,サーバ本体は、上記の要件を満たす範囲で、本体の大きさ高さ、幅、奥行について、省スペースを配慮すること。,その他
9840,本調達で新規に導入する会議室用ディスプレイについて、設置対象となる会議室の場所は変更される可能性がある。,その他
9841,中央合同庁舎第0号館内の担当職員が指定した位置に設置し、以下の機能を有すること。,その他
9842,×0ドット以上の解像度に対応していること。,使用性
9843,バックライトはledであること。,その他
9844,hdmiの入力端子を0ポート以上有し、タイプaのコネクタに対応していること。,その他
9845,型で、ディスプレイスタンドに取り付け可能であること。,その他
9846,ただし、会議室の大きさに合わせたサイズに変更も可能とすること。,その他
9847,ディスプレイスタンドは、キャスター等による移動式であること。,その他
9848,hdmiケーブルのコネクタをタイプaからタイプcに変換するケーブルも用意すること。,その他
9849,hdmiケーブル及びディスプレイ本体の電源コードが収納できる配線カバーを取り付けること。素材はプラスチックとする。,その他
9850,、0base-tインタフェースを0ポート以上有すること。,その他
9851,専用のリモートコントローラによる操作が可能なこと。,その他
9852,pc等の映像を出力するためのhdmiケーブルを用意すること。,その他
9853,障害発生時にはアラーム等による注意喚起及びメール等による通報が可能なこと。,その他
9854,snmpv0c、v0によるネットワーク監視に対応していること。,その他
9855,ipv0とipv0環境の双方に対応していること。,その他
9856,設定情報管理ソフトウェア,その他
9857,ネットワーク運用監視サーバには、ネットワーク監視ソフトウェア、設定情報管理ソフトウェアを導入し、このうち、設定情報管理ソフトウェアには、以下の要件を満たしたソフトウェアを導入すること。,その他
9858,なお、設定情報管理対象機器は、スイッチa、スイッチb0、スイッチb0、スイッチc、無線lanコントローラ、無線lanアクセスポイント、ファイアウォールa及びファイアウォールbとする。,その他
9859,複数の設定情報管理対象機器に対して、手動／自動を選択して一括で設定情報の収集が可能であること。,その他
9860,設定情報管理対象機器の状態を確認するshow系コマンドの戻り値同士を比較することが可能であること。,その他
9861,cliコマンドをテンプレート化し、それらのコマンドを画面上の操作で容易に実行可能なこと。,その他
9862,設定情報管理対象機器のインベントリ情報オペレーティングシステムバージョン、シリアル番号、型番を収集、閲覧することが可能なこと。,その他
9863,設定情報管理対象機器にアクセスするクライアント端末ターミナルソフト等によるが、いつ、どの設定情報管理対象機器に対してアクセスし、どのようなコマンドを発行し、どのような戻り値だったのかといった証跡が自動的に保存され、テキスト出力することが可能なこと。,セキュリティ
9864,閲覧できる設定情報管理対象機器や使用できる機能等の権限をユーザ単位で差別化することが可能なこと。,セキュリティ
9865,ipv0とipv0環境の双方に対応していること。,その他
9866,ネットワーク統計情報収集ソフトウェア,その他
9867,ネットワーク統計情報サーバには、以下の要件を満たしたソフトウェアを導入すること。,その他
9868,rfc0に準拠したsflow、及びrfc0に準拠したnetflowに対応するコレクタ機能を有すること。,その他
9869,スイッチaを通過するトラフィックに関する情報を、宛先、送信元ipアドレス、宛先、送信元ポート番号に基づき、リモートで収集可能であること。,機能適合性
9870,プロトコル別トラフィックを算出可能であること。,その他
9871,ユーザごとに表示や操作の権限を設定することが可能なこと。,セキュリティ
9872,pdf形式とhtml形式等でデータの外部出力が可能であること。,その他
9873,ipv0とipv0環境の双方に対応していること。,その他
9874,radius認証サーバには、以下の要件を満たしたソフトウェアを導入すること。,その他
9875,rfc0及びrfc0に規定されるradiusプロトコルに準拠し、radiusサーバとして機能すること。,その他
9876,ieee0.0xに準拠した認証方式を用いて、有線lanの認証を統合管理可能なこと。,その他
9877,認証方式として、eap-tls、eap-md0、eap-peapに対応していること。,その他
9878,また、各種認証方式は現在設定が可能なこと。,その他
9879,管理ユーザ権限で閲覧可能なインタフェースはwebベースsslで提供されること。,セキュリティ
9880,認証結果に応じてvlanやaclを動的に割り当てる機能を有すること。,その他
9881,エンドポイントをサポートすること。,その他
9882,ファイアウォール管理サーバには、以下の要件を満たしたソフトウェアを導入すること。,その他
9883,本調達に含まれるファイアウォール全てのポリシーの一元管理が可能であること。,その他
9884,複数のファイアウォールをグループ化し、ファイアウォールグループごとに異なるポリシーを適用することが可能であること。,その他
9885,筐体で複数の仮想システムが稼働しているファイアウォールについて、仮想システムごとに異なるファイアウォールグループに所属させ管理することが可能であること。,その他
9886,webui上で動的に表示を切替えることができるリアルタイムレポート機能を搭載し、利用頻度の多いアプリケーション、urlカテゴリ、脅威をランキング形式で表示できること。,その他
9887,宛先、送信元の国別通信量や国別脅威発生量を世界地図上にグラフ表示する機能を有すること。,その他
9888,宛先、送信元の国別アドレスでポリシー制御が可能であること。,その他
9889,webユーザインタフェースによる管理用通信はhttpsにより暗号化することが可能なこと。,セキュリティ
9890,また、コマンドラインインタフェースによる管理用通信はsshv0によって暗号化することが可能なこと。,セキュリティ
9891,syslogサーバには、以下の要件を満たしたソフトウェアを導入すること。,その他
9892,rfc0に準拠したsyslogの受信が可能なこと。,その他
9893,guiによる設定、管理が可能なこと。,その他
9894,tcp、udp、snmpによるメッセージが受信可能なこと。,その他
9895,時間で0万メッセージ以上受信可能なこと。,性能効率性
9896,秒間で0メッセージ以上受信可能なこと。,性能効率性
9897,優先度、日付、ipアドレス、ホスト名、メッセージ等によるフィルタリングが可能なこと。,機能適合性
9898,ネットワーク運用監視サーバ、ネットワーク統計情報サーバ、radius認証サーバ、ファイアウォール管理サーバ、syslogサーバ及び無線lan管理サーバには、それぞれ以下の要件を満たしたオペレーティングシステム及びウイルス対策ソフトウェアを導入すること。,その他
9899,受注者が提案するソフトウェアの動作を保証するオペレーティングシステムを採用すること。,その他
9900,オペレーティングシステムは、障害、又は、脆弱性が発覚した場合に、受注者の責任において、迅速に対処できること。,その他
9901,オペレーティングシステムは、現時点で販売、サポートされており、lan設備機器運用期間完了まで発売元若しくは製造元によるサポートが継続されているものであること。,その他
9902,ただし、導入するオペレーティングシステムについて、保証期間の終了が避けられない場合には、利用者に影響を与えないように、受注者の責任と負担において、後続オペレーティングシステムへのアップデートを行うこと。,その他
9903,原則、最新のバージョンであり、十分な実績があること。,その他
9904,最新のバージョンでない場合は、実績等の観点より、導入理由を明確にした上で、担当職員の承認を得ること。,その他
9905,ウイルスチェックは、実施のタイミング及び日時指定がスケジュール指定できること。,その他
9906,ウイルス対策ソフトウェア、検索エンジン及びパターンファイルの更新等ウイルス対策ソフトウェアの運用上必要な事項は、受注者の負担において、実施すること。,その他
9907,導入する機器等については、ipv0とipv0環境の双方での通信サービスが可能な機器を提供すること。,その他
9908,リモート監視、運用監視及びセキュリティ監視の機能を提供するために設置する監視センターは、以下の要件を満たすこと。,その他
9909,当省と監視センター間は、専用線や広域イーサネットサービス等の通信回線により接続することとし、当省と監視センターの間の通信は、暗号化すること。,セキュリティ
9910,当省との接続のために必要な機器や通信回線等は、当省側への通信回線敷設時に発生する費用も含め、全て受注者の負担により用意すること。,その他
9911,当省との接続のために利用する通信回線については、セキュリティポリシー及びサービスレベルに関して担当職員と協議の上、運用開始までに取り決めておくこと。,その他
9912,監視センターは、受注者が取得したisms認証の適用範囲に含まれること。,その他
9913,監視センターは、関係者以外が立ち入れない防犯対策がなされており、立ち入る者の本人認証を行うための措置が講じられていること。,その他
9914,監視センターに臨時で立ち入る者については、訪問日時、訪問者氏名、訪問相手先等を記録するものとし、当省が求めた場合にはこの記録を提示できること。,その他
9915,監視センター内においては、常時立ち入りを許可されている者と、臨時で立ち入ることを許可された者が外見上判断できる対策を講じること。,その他
9916,運用業務を行うための設備は、受注者の社内ネットワーク及び受注者が当省以外から請け負っているサービスで使用しているネットワークとは隔離すること。,その他
9917,運用業務を行うための端末は、盗難防止対策がなされていること。,その他
9918,離席時には不正操作等から保護するための措置が講じられていること。,その他
9919,運用業務を行うための端末に導入するウイルス対策ソフトウェアのパターンファイル及びセキュリティパッチの更新については、ソフトウェアベンダー等において、最新のものが公開された時点で迅速に適用し、最新の情報を維持すること。,その他
9920,日0時間常時監視が必要となるため、監視センターのある建物に計画停電等が発生しても、監視が継続して行える対策を講じること。,その他
9921,受注者は、lan設備機器の正常稼働を保証するためのテストとして、単体テスト、結合テスト及び総合テストを実施すること。,その他
9922,また総合テスト後に当省が実施する受入テストについて、テスト計画、環境整備、運用等の支援を行うこと。,その他
9923,なお、テストを行う上で必要な関係者との連絡調整、テスト環境の準備や費用は、本調達に含まれるものとする。,その他
9924,テスト結果については、テストデータテストの証跡を含めて報告すること。,その他
9925,各テストのために、各種情報システムと接続する場合、接続のための費用については、全て受注者が負担すること。,その他
9926,当省内にてテストを実施する場合、lan設備機器と接続される情報システムへの影響を考慮し、テスト内容によっては閉庁日や夜間に実施するよう担当職員から指示することがある。,その他
9927,単体テストと結合テストについては、当省内ではなく、受注者が用意するテスト環境において実施するものとし、必要な設備や測定機類についても受注者が用意すること。,その他
9928,なお総合テスト及び受入テスト支援は当省にて本システム更改時に実施すること。,その他
9929,監視センターからlan設備機器に対しての管理用通信は、httpsやsshv0により暗号化すること。,セキュリティ
